HWT
timestamp,GHI,DHI,Aussentemperatur ,Solarthermie_Erzeugung,Bedarf_thermisch ,Strompreis,PV_Erzeugung,Bedarf_elektrisch
2019-04-01 04:40:00,0,0,5.9,0,31508.5254486942,0.0209233333333333,0,8367.36020070032
2019-04-01 04:45:00,0,0,5.925,0,31932.6208093778,0.020685,0,8467.78955584745
2019-04-01 04:50:00,0,0,5.95,0,32356.7161700615,0.0204466666666667,0,8575.07737663988
2019-04-01 04:55:00,0,0,5.975,0,32513.7042209385,0.0202083333333333,0,8682.36519743232
2019-04-01 05:00:00,0,0,6,0,32670.6922718156,0.01997,0,8789.65301822475
2019-04-01 05:05:00,0.833333333333333,0.833333333333333,6.09166666666667,0,32494.7698860152,0.0223141666666667,0,8740.52970223844
2019-04-01 05:10:00,1.66666666666667,1.66666666666667,6.18333333333333,0,32318.8475002148,0.0246583333333333,0,8691.40638625212
2019-04-01 05:15:00,2.5,2.5,6.275,0,32327.2571802636,0.0270025,0,8642.28307026581
2019-04-01 05:20:00,3.33333333333333,3.33333333333333,6.36666666666667,0,32335.6668603123,0.0293466666666667,0,8730.92238126533
2019-04-01 05:25:00,4.16666666666667,4.16666666666667,6.45833333333333,0,32254.1845881474,0.0316908333333333,0,8819.56169226485
2019-04-01 05:30:00,5,5,6.55,0,32172.7023159825,0.034035,0,8908.20100326437
2019-04-01 05:35:00,5.83333333333333,5.83333333333333,6.64166666666667,0,31908.0763407992,0.0363791666666667,0,8897.51994617081
2019-04-01 05:40:00,6.66666666666667,6.66666666666667,6.73333333333333,0,31643.4503656159,0.0387233333333333,0,8886.83888907726
2019-04-01 05:45:00,7.5,7.5,6.825,0,31431.3615594135,0.0410675,2.56103437544278,8876.15783198371
2019-04-01 05:50:00,8.33333333333333,8.33333333333333,6.91666666666667,0,31219.2727532111,0.0434116666666667,9.07507494294156,8888.20862986073
2019-04-01 05:55:00,9.16666666666667,9.16666666666667,7.00833333333333,0,31112.4772250825,0.0457558333333333,15.5910016624494,8900.25942773776
